path,name,folder,ext,lines,size_bytes
desktop/public/splashscreen.html,splashscreen.html,desktop,html,342,11850
scss/tools/_memory-card.scss,_memory-card.scss,scss,scss,341,8404
desktop/src/components/ToolsWorkspacePanel.vue,ToolsWorkspacePanel.vue,desktop,vue,337,11824
desktop/src-tauri/src/bridge_extensions/migration/downloads/installer.rs,installer.rs,desktop,rs,333,12298
desktop/src/views/DesktopHomeView.vue,DesktopHomeView.vue,desktop,vue,333,14952
scss/header/_logo.scss,_logo.scss,scss,scss,333,13372
scss/_views.scss,_views.scss,scss,scss,333,7798
desktop/src-tauri/src/bridge_extensions/suggestions/channels.rs,channels.rs,desktop,rs,328,15452
desktop/src/components/LlmSettingsPanel.vue,LlmSettingsPanel.vue,desktop,vue,324,14977
js/game-manager/filters-utils.js,filters-utils.js,js,js,321,9695
js/tools/monitor-tool.js,monitor-tool.js,js,js,318,15942
js/tools/cover-downloader-tool.js,cover-downloader-tool.js,js,js,317,15428
desktop/src-tauri/src/main.rs,main.rs,desktop,rs,316,11696
desktop/src/stores/ecm-tool.js,ecm-tool.js,desktop,js,315,12503
js/runtime/game-session-overlay.js,game-session-overlay.js,js,js,311,11665
desktop/src/stores/update-center.js,update-center.js,desktop,js,310,9949
js/runtime/tools-manager.js,tools-manager.js,js,js,309,14751
js/theme-manager/theme-library-view.js,theme-library-view.js,js,js,299,9915
js/game-manager/views/focus-view.js,focus-view.js,js,js,295,12617
js/theme-manager/theme-color-utils.js,theme-color-utils.js,js,js,295,13766
desktop/src-tauri/src/bridge_extensions/monitor.rs,monitor.rs,desktop,rs,294,10228
desktop/src/stores/workspace.js,workspace.js,desktop,js,290,9412
desktop/src-tauri/src/app_core.rs,app_core.rs,desktop,rs,289,8775
desktop/src-tauri/src/bridge_extensions/help_docs.rs,help_docs.rs,desktop,rs,289,8834
desktop/src/views/ThemeWindowView.vue,ThemeWindowView.vue,desktop,vue,282,14843
scss/games/_slideshow.scss,_slideshow.scss,scss,scss,282,6346
desktop/src-tauri/bundle-resources/emubro-resources/platforms/atari5200/config.json,config.json,desktop,json,280,8959
emubro-resources/platforms/atari5200/config.json,config.json,emubro-resources,json,280,8959
js/theme-manager/theme-background-apply.js,theme-background-apply.js,js,js,280,12343
desktop/src/components/LibrarySettingsPanel.vue,LibrarySettingsPanel.vue,desktop,vue,279,14031
desktop/src/stores/locales.js,locales.js,desktop,js,274,7750
desktop/src-tauri/bundle-resources/emubro-resources/platforms/gameboy/config.json,config.json,desktop,json,270,8436
emubro-resources/platforms/gameboy/config.json,config.json,emubro-resources,json,270,8436
desktop/src/utils/emulator-config-bindings.js,emulator-config-bindings.js,desktop,js,268,8560
desktop/src-tauri/src/app_core/invoke/library_actions/launch.rs,launch.rs,desktop,rs,267,11314
desktop/src/stores/window-chrome.js,window-chrome.js,desktop,js,266,8307
